wlBest Fit  Median  -1 Sig  +1 Sig  -2 Sig  +2 sig  
       1.7889088     0.025464924     0.025472788     0.025458105     0.025487941     0.025449563     0.025500681
       1.7882690     0.025463233     0.025471133     0.025456639     0.025486443     0.025448066     0.025499218
       1.7876296     0.025461911     0.025469734     0.025455527     0.025485510     0.025446617     0.025498573
       1.7869907     0.025462472     0.025470072     0.025455704     0.025485712     0.025446897     0.025498564
       1.7863523     0.025463060     0.025470306     0.025455791     0.025486029     0.025447204     0.025498718
       1.7857143     0.025464204     0.025470367     0.025456108     0.025486390     0.025447278     0.025499538
       1.7850768     0.025465347     0.025470379     0.025456456     0.025487240     0.025447108     0.025499436
       1.7844397     0.025465103     0.025469819     0.025455866     0.025486546     0.025446768     0.025498653
       1.7838031     0.025464745     0.025469311     0.025455293     0.025485948     0.025446233     0.025498293
       1.7831669     0.025464659     0.025469072     0.025455199     0.025485778     0.025445899     0.025498182
       1.7825312     0.025464642     0.025468830     0.025454996     0.025485703     0.025445617     0.025498256
       1.7818959     0.025462303     0.025467286     0.025453377     0.025483847     0.025444064     0.025497144
       1.7812611     0.025458830     0.025464994     0.025451195     0.025481257     0.025442066     0.025495163
       1.7806268     0.025456362     0.025463413     0.025449261     0.025479152     0.025440365     0.025492786
       1.7799929     0.025454750     0.025462233     0.025447893     0.025477643     0.025439172     0.025491615
       1.7793594     0.025453406     0.025461200     0.025446999     0.025476853     0.025438347     0.025491123
       1.7787264     0.025452452     0.025460699     0.025446413     0.025476858     0.025437860     0.025491528
       1.7780939     0.025451519     0.025460127     0.025445871     0.025476481     0.025437199     0.025490952
       1.7774618     0.025450639     0.025459706     0.025445392     0.025476068     0.025436713     0.025490421
       1.7768301     0.025449308     0.025459056     0.025444726     0.025475074     0.025435988     0.025489977
       1.7761989     0.025444885     0.025456895     0.025442490     0.025472399     0.025434269     0.025487069
       1.7755682     0.025440464     0.025454193     0.025440000     0.025469824     0.025431265     0.025484340
       1.7749379     0.025439698     0.025453608     0.025439399     0.025469075     0.025430758     0.025483746
       1.7743080     0.025438995     0.025453151     0.025438888     0.025468307     0.025430018     0.025483472
       1.7736786     0.025433404     0.025449085     0.025434270     0.025465731     0.025425937     0.025480859
       1.7730496     0.025426858     0.025444227     0.025429543     0.025461478     0.025420875     0.025477830
       1.7724211     0.025424443     0.025442437     0.025427510     0.025459986     0.025418925     0.025476623
